da_acc,da_iou,da_miou,ll_acc,ll_iou,ll_miou,det_p,det_r,det_map50,det_map95
0.954,0.758,0.852,0.5,0.391,0.687,0.074,0.841,0.671,0.34
0.962,0.798,0.876,0.516,0.403,0.693,0.071,0.837,0.679,0.348
0.958,0.777,0.864,0.532,0.406,0.695,0.061,0.831,0.654,0.333
0.96,0.785,0.869,0.482,0.385,0.685,0.073,0.83,0.659,0.341
0.959,0.786,0.869,0.504,0.398,0.691,0.067,0.841,0.674,0.36
0.959,0.785,0.868,0.501,0.398,0.691,0.079,0.828,0.662,0.348
0.956,0.77,0.859,0.5,0.396,0.69,0.08,0.82,0.657,0.344
0.959,0.79,0.871,0.509,0.4,0.692,0.082,0.825,0.666,0.335
0.959,0.784,0.868,0.483,0.39,0.687,0.067,0.842,0.672,0.35
0.96,0.795,0.874,0.5,0.401,0.693,0.08,0.815,0.656,0.335
0.96,0.79,0.871,0.479,0.388,0.686,0.07,0.832,0.668,0.354
0.96,0.788,0.87,0.508,0.402,0.693,0.074,0.837,0.668,0.345
0.958,0.785,0.868,0.531,0.409,0.696,0.074,0.834,0.667,0.341
0.959,0.784,0.868,0.493,0.396,0.69,0.067,0.829,0.663,0.349
0.959,0.783,0.867,0.525,0.409,0.697,0.076,0.828,0.668,0.36
0.958,0.779,0.865,0.501,0.399,0.692,0.076,0.821,0.655,0.339
0.959,0.786,0.869,0.512,0.403,0.694,0.083,0.819,0.657,0.348
0.959,0.783,0.867,0.508,0.403,0.694,0.076,0.839,0.67,0.329
0.959,0.784,0.868,0.492,0.398,0.691,0.083,0.827,0.667,0.353
0.959,0.783,0.867,0.527,0.407,0.695,0.082,0.824,0.664,0.349
0.959,0.788,0.87,0.549,0.417,0.701,0.083,0.832,0.669,0.329
0.96,0.79,0.871,0.481,0.392,0.688,0.082,0.823,0.666,0.33
0.961,0.801,0.877,0.531,0.411,0.697,0.087,0.826,0.664,0.354
0.959,0.784,0.868,0.502,0.4,0.692,0.086,0.814,0.663,0.352
0.956,0.769,0.859,0.48,0.388,0.686,0.085,0.817,0.66,0.352
